"","カいカ","カカ","カ蔼动カ","2011","2012","2013","2014","2015","2016","2017","2018","2019","る1","る10","る11","る12","る2","る3","る4","る5","る6","る7","る8","る9","キА放","程蔼放","程放","獴ら计","程10だ牧硉","程10だ牧..","程俐丁硉","程俐丁..","キА癸楞","程癸楞","キА代溃","羆ら酚计","獴秖"
"260",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,29.1,34.1,24.8,18,7.2,170,14.8,200,79,59,1007.5,209.2,900
"261",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29.5,37.6,24.6,10,10.6,340,19.7,330,78,45,1008,222,200
"262",0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,27.2,33,22.5,0,6.6,340,10.8,320,70,50,1012.6,268.6,0
"263",0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,25.2,32.2,20.1,1,5.3,310,8.9,320,72,37,1015.1,208,0
"264",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20.2,28.6,13.6,7,6.1,10,14.3,340,68,44,1018.9,110.2,0
"265",0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19.9,27.4,14.1,2,6.9,350,12.9,20,66,35,1019,199.8,0
"266",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20.8,29.4,12.3,3,6.7,310,12.4,340,69,37,1017.9,194.8,0
"267",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,23.6,29.7,17,0,6.5,180,12.2,320,72,55,1016.6,204.6,0
"268",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26.2,31.8,18.5,4,7.9,310,14.1,310,70,24,1013.4,259.7,0
"269",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,28.3,33.6,24.7,11,7.9,280,13.2,280,77,55,1009.6,213.6,300
"270",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,30.6,34.7,25.9,2,6.8,180,12.2,180,75,60,1008.4,328.7,0
"271",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,29.5,34.7,25,15,8.8,170,17.6,140,78,60,1005.2,218.7,200
"272",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,28.8,34.1,23.8,17,16.6,270,31,270,80,58,1005.7,175,500
"273",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28.8,33.5,24.5,6,12.3,280,22.1,270,76,54,1009.3,208.7,100
"274",0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,27.7,32.5,23.8,4,4.8,310,8.9,20,76,58,1012.7,193.2,0
"275",0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,26.2,32.9,17.4,2,4.9,310,9.3,350,74,45,1016,198.6,0
"276",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,22.4,29.7,13.9,3,5.3,350,9.7,30,71,48,1018.1,195.7,0
"277",0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19.3,27.7,7,12,7.1,360,16,340,76,53,1018.3,120.9,200
